knn,dt,lda,gnb,linear_svc,poly_svc,rbf_svc
0.7,0.85,0.3,0.8,0.45,0.3,0.95
0.9,0.75,0.2,0.95,0.4,0.55,0.95
0.85,0.95,0.35,0.9,0.3,0.4,0.95
1.0,0.8,0.3,1.0,0.4,0.25,1.0
0.85,0.85,0.35,0.9,0.3,0.4,0.85
0.9,0.9,0.3,0.85,0.4,0.55,0.9
1.0,0.95,0.4,0.95,0.35,0.5,1.0
0.8,0.95,0.25,1.0,0.3,0.3,0.85
0.85,0.8,0.2,0.9,0.2,0.25,0.95
0.9,0.95,0.4,0.95,0.3,0.4,0.9
